idalerta,idnivel_alerta,idarea_risco,idinfraestrutura_urbana,data_alerta,descricao,score_risco,estado
1,4,3,8,2026-05-08 00:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm.,60.2,ativo
2,4,4,12,2026-05-08 00:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm.,53.16,ativo
3,2,2,4,2026-05-08 01:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm.,17.62,registado
4,3,3,8,2026-05-08 01:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm.,47.9,ativo
5,3,4,11,2026-05-08 01:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm.,46.81,ativo
6,2,1,3,2026-05-08 02:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm.,25.42,registado
7,3,3,9,2026-05-08 02:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm.,48.78,ativo
8,3,4,12,2026-05-08 02:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm.,48.69,ativo
9,3,1,3,2026-05-08 03:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm.,26.74,ativo
10,3,3,7,2026-05-08 03:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm.,53.24,ativo
11,4,4,12,2026-05-08 03:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm.,75.7,ativo
12,3,1,2,2026-05-08 04:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm.,42.2,ativo
13,3,3,8,2026-05-08 04:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm.,57.38,ativo
14,4,4,11,2026-05-08 04:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm.,67.18,ativo
15,4,1,2,2026-05-08 05:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm.,72.1,ativo
16,3,3,8,2026-05-08 05:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 79.96%. Precipitação acumulada 6h: 57.28 mm. Precipitação prevista 1h: 3.26 mm.,53.98,ativo
17,4,4,11,2026-05-08 05:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 88.73%. Precipitação acumulada 6h: 76.60 mm. Precipitação prevista 1h: 0.00 mm.,62.91,ativo
18,4,1,3,2026-05-08 06:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 90.44%. Precipitação acumulada 6h: 64.26 mm. Precipitação prevista 1h: 3.16 mm.,60.77,ativo
19,3,2,4,2026-05-08 06:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 40.34%. Precipitação acumulada 6h: 10.09 mm. Precipitação prevista 1h: 23.45 mm.,27.04,ativo
20,2,3,8,2026-05-08 06:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 44.82%. Precipitação acumulada 6h: 7.85 mm. Precipitação prevista 1h: 20.43 mm.,27.63,registado
21,2,4,10,2026-05-08 06:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 58.15%. Precipitação acumulada 6h: 30.38 mm. Precipitação prevista 1h: 0.00 mm.,35.28,registado
22,4,1,2,2026-05-08 07:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.41%. Precipitação acumulada 6h: 64.57 mm. Precipitação prevista 1h: 0.00 mm.,61.41,ativo
23,2,2,6,2026-05-08 07:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 45.98%. Precipitação acumulada 6h: 14.59 mm. Precipitação prevista 1h: 12.28 mm.,28.14,registado
24,2,3,9,2026-05-08 07:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 38.68%. Precipitação acumulada 6h: 11.07 mm. Precipitação prevista 1h: 17.22 mm.,25.03,registado
25,3,4,12,2026-05-08 07:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 58.37%. Precipitação acumulada 6h: 33.67 mm. Precipitação prevista 1h: 19.66 mm.,41.28,ativo
26,4,1,3,2026-05-08 08:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 92.52%. Precipitação acumulada 6h: 64.65 mm. Precipitação prevista 1h: 9.90 mm.,63.5,ativo
27,2,3,7,2026-05-08 08:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 45.86%. Precipitação acumulada 6h: 14.52 mm. Precipitação prevista 1h: 15.03 mm.,28.75,registado
