idalerta_evidencia,idalerta,idleitura_sensor,idprevisao,tipo_variavel,valor_usado,unidade,limiar_aplicado,contribuicao_para_alerta
1,1,22,,nivel_agua_percentagem,67.49,%,70/85/90%,Leitura máxima de nível de água na área.
2,1,,,precipitacao_acumulada_6h,49.43,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
3,1,,3,precipitacao_prevista_1h,70,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
4,2,34,,nivel_agua_percentagem,62.72,%,70/85/90%,Leitura máxima de nível de água na área.
5,2,,,precipitacao_acumulada_6h,49.29,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
6,2,,4,precipitacao_prevista_1h,40.6,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
7,3,46,,nivel_agua_percentagem,31.47,%,70/85/90%,Leitura máxima de nível de água na área.
8,3,,,precipitacao_acumulada_6h,2.51,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
9,3,,6,precipitacao_prevista_1h,10.82,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
10,4,58,,nivel_agua_percentagem,72.46,%,70/85/90%,Leitura máxima de nível de água na área.
11,4,,,precipitacao_acumulada_6h,50.98,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
12,4,,7,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
13,5,67,,nivel_agua_percentagem,69.95,%,70/85/90%,Leitura máxima de nível de água na área.
14,5,,,precipitacao_acumulada_6h,51.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
15,5,,8,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
16,6,79,,nivel_agua_percentagem,45.65,%,70/85/90%,Leitura máxima de nível de água na área.
17,6,,,precipitacao_acumulada_6h,6.47,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
18,6,,9,precipitacao_prevista_1h,11.75,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
19,7,97,,nivel_agua_percentagem,73.67,%,70/85/90%,Leitura máxima de nível de água na área.
20,7,,,precipitacao_acumulada_6h,52.09,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
21,7,,11,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
22,8,106,,nivel_agua_percentagem,73.19,%,70/85/90%,Leitura máxima de nível de água na área.
23,8,,,precipitacao_acumulada_6h,51.17,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
