idalerta,idplano_acao,estado,responsavel,data_inicio,data_conclusao,observacoes
1,5,concluido,Operador Municipal,2026-05-08 00:15:00,2026-05-08 00:58:00,
1,6,concluido,Operador Municipal,2026-05-08 00:15:00,2026-05-08 01:45:00,
1,7,concluido,Operador Municipal,2026-05-08 00:15:00,2026-05-08 02:20:00,
1,8,pendente,Operador Municipal,,,Ação ainda não iniciada.
2,5,concluido,Operador Municipal,2026-05-08 00:06:00,2026-05-08 02:13:00,
2,6,concluido,Operador Municipal,2026-05-08 00:28:00,2026-05-08 03:28:00,
2,7,em_execucao,Operador Municipal,2026-05-08 00:22:00,,
2,8,em_execucao,Operador Municipal,2026-05-08 00:26:00,,
3,1,concluido,Operador Municipal,2026-05-08 01:17:00,2026-05-08 02:14:00,
3,3,concluido,Operador Municipal,2026-05-08 01:05:00,2026-05-08 03:06:00,
3,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
4,3,em_execucao,Operador Municipal,2026-05-08 01:05:00,,
4,5,em_execucao,Operador Municipal,2026-05-08 01:17:00,,
4,6,concluido,Operador Municipal,2026-05-08 01:11:00,2026-05-08 02:09:00,
5,3,concluido,Operador Municipal,2026-05-08 01:06:00,2026-05-08 02:07:00,
5,5,concluido,Operador Municipal,2026-05-08 01:10:00,2026-05-08 01:48:00,
5,6,concluido,Operador Municipal,2026-05-08 01:22:00,2026-05-08 02:49:00,
6,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
6,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
6,4,concluido,Operador Municipal,2026-05-08 02:11:00,2026-05-08 05:10:00,
7,3,em_execucao,Operador Municipal,2026-05-08 02:16:00,,
7,5,em_execucao,Operador Municipal,2026-05-08 02:22:00,,
7,6,em_execucao,Operador Municipal,2026-05-08 02:21:00,,
8,3,em_execucao,Operador Municipal,2026-05-08 02:11:00,,
8,5,em_execucao,Operador Municipal,2026-05-08 02:28:00,,
8,6,concluido,Operador Municipal,2026-05-08 02:24:00,2026-05-08 03:29:00,
9,3,em_execucao,Operador Municipal,2026-05-08 03:27:00,,
9,5,concluido,Operador Municipal,2026-05-08 03:29:00,2026-05-08 04:03:00,
9,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
10,3,em_execucao,Operador Municipal,2026-05-08 03:30:00,,
10,5,em_execucao,Operador Municipal,2026-05-08 03:28:00,,
10,6,concluido,Operador Municipal,2026-05-08 03:30:00,2026-05-08 04:27:00,
11,5,em_execucao,Operador Municipal,2026-05-08 03:25:00,,
11,6,em_execucao,Operador Municipal,2026-05-08 03:20:00,,
11,7,concluido,Operador Municipal,2026-05-08 03:11:00,2026-05-08 05:21:00,
