idleitura_sensor,idsensor,tipo_variavel,valor,unidade,data_observacao,data_registo,qualidade_dado,validada
1,1,nivel_agua_percentagem,33.69,%,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
2,2,precipitacao_horaria,1.58,mm,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
3,3,caudal_estimado,22.49,m3/s,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
4,4,nivel_agua_percentagem,34.58,%,2026-05-08 00:00:00,2026-05-08 00:01:00,suspeita,0
5,5,precipitacao_horaria,1.58,mm,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
6,6,caudal_estimado,23.56,m3/s,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
7,7,nivel_agua_percentagem,31.76,%,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
8,8,precipitacao_horaria,1.58,mm,2026-05-08 00:00:00,2026-05-08 00:00:00,boa,1
9,9,caudal_estimado,27.12,m3/s,2026-05-08 00:00:00,2026-05-08 00:00:00,boa,1
10,10,nivel_agua_percentagem,27.18,%,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
11,11,precipitacao_horaria,2.51,mm,2026-05-08 00:00:00,2026-05-08 00:04:00,boa,1
12,12,caudal_estimado,16.72,m3/s,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
13,13,nivel_agua_percentagem,33.67,%,2026-05-08 00:00:00,2026-05-08 00:05:00,boa,1
14,14,precipitacao_horaria,2.51,mm,2026-05-08 00:00:00,2026-05-08 00:05:00,boa,1
15,15,caudal_estimado,45.04,m3/s,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
16,16,nivel_agua_percentagem,33.56,%,2026-05-08 00:00:00,2026-05-08 00:00:00,boa,1
17,17,precipitacao_horaria,2.51,mm,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
18,18,caudal_estimado,44.25,m3/s,2026-05-08 00:00:00,2026-05-08 00:05:00,suspeita,0
19,19,nivel_agua_percentagem,63.37,%,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
20,20,precipitacao_horaria,49.43,mm,2026-05-08 00:00:00,2026-05-08 00:04:00,boa,1
21,21,caudal_estimado,81.99,m3/s,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
22,22,nivel_agua_percentagem,67.49,%,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
23,23,precipitacao_horaria,49.43,mm,2026-05-08 00:00:00,2026-05-08 00:05:00,boa,1
24,24,caudal_estimado,88.91,m3/s,2026-05-08 00:00:00,2026-05-08 00:04:00,boa,1
25,25,nivel_agua_percentagem,63.22,%,2026-05-08 00:00:00,2026-05-08 00:00:00,boa,1
26,26,precipitacao_horaria,49.43,mm,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
27,27,caudal_estimado,68.07,m3/s,2026-05-08 00:00:00,2026-05-08 00:02:00,boa,1
28,28,nivel_agua_percentagem,60.51,%,2026-05-08 00:00:00,2026-05-08 00:04:00,boa,1
29,29,precipitacao_horaria,49.29,mm,2026-05-08 00:00:00,2026-05-08 00:05:00,boa,1
30,30,caudal_estimado,39.06,m3/s,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
31,31,nivel_agua_percentagem,56.59,%,2026-05-08 00:00:00,2026-05-08 00:01:00,boa,1
32,32,precipitacao_horaria,49.29,mm,2026-05-08 00:00:00,2026-05-08 00:01:00,boa,1
33,33,caudal_estimado,45.92,m3/s,2026-05-08 00:00:00,2026-05-08 00:01:00,boa,1
34,34,nivel_agua_percentagem,62.72,%,2026-05-08 00:00:00,2026-05-08 00:05:00,boa,1
35,35,precipitacao_horaria,49.29,mm,2026-05-08 00:00:00,2026-05-08 00:03:00,boa,1
36,36,caudal_estimado,43.94,m3/s,2026-05-08 00:00:00,2026-05-08 00:01:00,boa,1
37,1,nivel_agua_percentagem,38.33,%,2026-05-08 01:00:00,2026-05-08 01:03:00,boa,1
38,2,precipitacao_horaria,2.53,mm,2026-05-08 01:00:00,2026-05-08 01:01:00,suspeita,0
39,3,caudal_estimado,43.62,m3/s,2026-05-08 01:00:00,2026-05-08 01:00:00,boa,1
40,4,nivel_agua_percentagem,39.32,%,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
41,5,precipitacao_horaria,2.53,mm,2026-05-08 01:00:00,2026-05-08 01:04:00,boa,1
42,6,caudal_estimado,34.38,m3/s,2026-05-08 01:00:00,2026-05-08 01:00:00,boa,1
43,7,nivel_agua_percentagem,30.64,%,2026-05-08 01:00:00,2026-05-08 01:04:00,boa,1
44,8,precipitacao_horaria,2.53,mm,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
45,9,caudal_estimado,35.34,m3/s,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
46,10,nivel_agua_percentagem,31.47,%,2026-05-08 01:00:00,2026-05-08 01:05:00,boa,1
47,11,precipitacao_horaria,0,mm,2026-05-08 01:00:00,2026-05-08 01:05:00,boa,1
48,12,caudal_estimado,33.12,m3/s,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
49,13,nivel_agua_percentagem,31.18,%,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
50,14,precipitacao_horaria,0,mm,2026-05-08 01:00:00,2026-05-08 01:04:00,boa,1
51,15,caudal_estimado,32.1,m3/s,2026-05-08 01:00:00,2026-05-08 01:03:00,suspeita,0
52,16,nivel_agua_percentagem,30.95,%,2026-05-08 01:00:00,2026-05-08 01:03:00,boa,1
53,17,precipitacao_horaria,0,mm,2026-05-08 01:00:00,2026-05-08 01:04:00,suspeita,0
54,18,caudal_estimado,25.58,m3/s,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
55,19,nivel_agua_percentagem,71.35,%,2026-05-08 01:00:00,2026-05-08 01:04:00,boa,1
56,20,precipitacao_horaria,1.55,mm,2026-05-08 01:00:00,2026-05-08 01:00:00,suspeita,0
57,21,caudal_estimado,91.31,m3/s,2026-05-08 01:00:00,2026-05-08 01:04:00,suspeita,0
58,22,nivel_agua_percentagem,72.46,%,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
59,23,precipitacao_horaria,1.55,mm,2026-05-08 01:00:00,2026-05-08 01:00:00,boa,1
60,24,caudal_estimado,91.38,m3/s,2026-05-08 01:00:00,2026-05-08 01:05:00,boa,1
61,25,nivel_agua_percentagem,70.89,%,2026-05-08 01:00:00,2026-05-08 01:00:00,boa,1
62,26,precipitacao_horaria,1.55,mm,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
63,27,caudal_estimado,91.38,m3/s,2026-05-08 01:00:00,2026-05-08 01:05:00,boa,1
64,28,nivel_agua_percentagem,64.28,%,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
65,29,precipitacao_horaria,1.83,mm,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
66,30,caudal_estimado,47.99,m3/s,2026-05-08 01:00:00,2026-05-08 01:01:00,boa,1
67,31,nivel_agua_percentagem,69.95,%,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
68,32,precipitacao_horaria,1.83,mm,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
69,33,caudal_estimado,90.04,m3/s,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
70,34,nivel_agua_percentagem,68.53,%,2026-05-08 01:00:00,2026-05-08 01:00:00,boa,1
71,35,precipitacao_horaria,1.83,mm,2026-05-08 01:00:00,2026-05-08 01:05:00,boa,1
72,36,caudal_estimado,87.42,m3/s,2026-05-08 01:00:00,2026-05-08 01:02:00,boa,1
73,1,nivel_agua_percentagem,40.81,%,2026-05-08 02:00:00,2026-05-08 02:03:00,boa,1
74,2,precipitacao_horaria,2.36,mm,2026-05-08 02:00:00,2026-05-08 02:01:00,boa,1
75,3,caudal_estimado,27.89,m3/s,2026-05-08 02:00:00,2026-05-08 02:03:00,boa,1
76,4,nivel_agua_percentagem,34.18,%,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
77,5,precipitacao_horaria,2.36,mm,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
78,6,caudal_estimado,26.79,m3/s,2026-05-08 02:00:00,2026-05-08 02:03:00,boa,1
79,7,nivel_agua_percentagem,45.65,%,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
80,8,precipitacao_horaria,2.36,mm,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
81,9,caudal_estimado,53.68,m3/s,2026-05-08 02:00:00,2026-05-08 02:05:00,boa,1
82,10,nivel_agua_percentagem,30.05,%,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
83,11,precipitacao_horaria,0.95,mm,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
84,12,caudal_estimado,31.24,m3/s,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
85,13,nivel_agua_percentagem,33.92,%,2026-05-08 02:00:00,2026-05-08 02:00:00,suspeita,0
86,14,precipitacao_horaria,0.95,mm,2026-05-08 02:00:00,2026-05-08 02:00:00,boa,1
87,15,caudal_estimado,31.67,m3/s,2026-05-08 02:00:00,2026-05-08 02:00:00,boa,1
88,16,nivel_agua_percentagem,33.48,%,2026-05-08 02:00:00,2026-05-08 02:01:00,boa,1
89,17,precipitacao_horaria,0.95,mm,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
90,18,caudal_estimado,21.05,m3/s,2026-05-08 02:00:00,2026-05-08 02:05:00,boa,1
91,19,nivel_agua_percentagem,73.25,%,2026-05-08 02:00:00,2026-05-08 02:00:00,boa,1
92,20,precipitacao_horaria,1.11,mm,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
93,21,caudal_estimado,57.98,m3/s,2026-05-08 02:00:00,2026-05-08 02:04:00,suspeita,0
94,22,nivel_agua_percentagem,67.39,%,2026-05-08 02:00:00,2026-05-08 02:03:00,boa,1
95,23,precipitacao_horaria,1.11,mm,2026-05-08 02:00:00,2026-05-08 02:03:00,boa,1
96,24,caudal_estimado,63.8,m3/s,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
97,25,nivel_agua_percentagem,73.67,%,2026-05-08 02:00:00,2026-05-08 02:00:00,boa,1
98,26,precipitacao_horaria,1.11,mm,2026-05-08 02:00:00,2026-05-08 02:05:00,boa,1
99,27,caudal_estimado,72.56,m3/s,2026-05-08 02:00:00,2026-05-08 02:01:00,boa,1
100,28,nivel_agua_percentagem,71.09,%,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
101,29,precipitacao_horaria,0.05,mm,2026-05-08 02:00:00,2026-05-08 02:05:00,boa,1
102,30,caudal_estimado,61.85,m3/s,2026-05-08 02:00:00,2026-05-08 02:04:00,boa,1
103,31,nivel_agua_percentagem,65,%,2026-05-08 02:00:00,2026-05-08 02:00:00,boa,1
104,32,precipitacao_horaria,0.05,mm,2026-05-08 02:00:00,2026-05-08 02:01:00,boa,1
105,33,caudal_estimado,73.25,m3/s,2026-05-08 02:00:00,2026-05-08 02:05:00,boa,1
106,34,nivel_agua_percentagem,73.19,%,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
107,35,precipitacao_horaria,0.05,mm,2026-05-08 02:00:00,2026-05-08 02:01:00,suspeita,0
108,36,caudal_estimado,97.24,m3/s,2026-05-08 02:00:00,2026-05-08 02:02:00,boa,1
109,1,nivel_agua_percentagem,36.39,%,2026-05-08 03:00:00,2026-05-08 03:00:00,boa,1
110,2,precipitacao_horaria,2.71,mm,2026-05-08 03:00:00,2026-05-08 03:00:00,boa,1
111,3,caudal_estimado,40.45,m3/s,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
