idnotificacao,idalerta,iddestinatario,canal,data_envio,estado_envio,data_confirmacao,mensagem,erro_envio
1,1,1,email_sms,2026-05-08 00:01:00,enviada,,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
2,1,2,email_sms,2026-05-08 00:08:00,confirmada,2026-05-08 00:34:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
3,1,3,email_sms,2026-05-08 00:07:00,confirmada,2026-05-08 00:21:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
4,1,4,email_sms,2026-05-08 00:06:00,enviada,,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
5,1,5,email_sms,2026-05-08 00:05:00,enviada,,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
6,1,6,email_sms,2026-05-08 00:01:00,confirmada,2026-05-08 00:10:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
7,1,7,email_sms,2026-05-08 00:01:00,enviada,,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
8,1,8,email_sms,2026-05-08 00:10:00,enviada,,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 67.49%. Precipitação acumulada 6h: 49.43 mm. Precipitação prevista 1h: 70.00 mm. Medidas recomendadas associadas ao nível Vermelho.,
9,2,1,email_sms,2026-05-08 00:03:00,falhada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,Erro simulado no envio.
10,2,2,email_sms,2026-05-08 00:10:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
11,2,3,email_sms,2026-05-08 00:09:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
12,2,4,email_sms,2026-05-08 00:08:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
13,2,5,email_sms,2026-05-08 00:03:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
14,2,6,email_sms,2026-05-08 00:06:00,confirmada,2026-05-08 00:19:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
15,2,7,email_sms,2026-05-08 00:01:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
16,2,8,email_sms,2026-05-08 00:01:00,confirmada,2026-05-08 00:13:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 62.72%. Precipitação acumulada 6h: 49.29 mm. Precipitação prevista 1h: 40.60 mm. Medidas recomendadas associadas ao nível Vermelho.,
17,3,1,email,2026-05-08 01:02:00,enviada,,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm. Medidas recomendadas associadas ao nível Amarelo.,
18,3,2,email,2026-05-08 01:01:00,enviada,,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm. Medidas recomendadas associadas ao nível Amarelo.,
19,3,3,email,2026-05-08 01:09:00,enviada,,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm. Medidas recomendadas associadas ao nível Amarelo.,
20,3,4,email,2026-05-08 01:08:00,enviada,,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm. Medidas recomendadas associadas ao nível Amarelo.,
21,3,6,email,2026-05-08 01:04:00,enviada,,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 31.47%. Precipitação acumulada 6h: 2.51 mm. Precipitação prevista 1h: 10.82 mm. Medidas recomendadas associadas ao nível Amarelo.,
22,4,1,email_sms,2026-05-08 01:08:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
23,4,2,email_sms,2026-05-08 01:02:00,confirmada,2026-05-08 01:26:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
24,4,3,email_sms,2026-05-08 01:06:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
25,4,4,email_sms,2026-05-08 01:08:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
26,4,5,email_sms,2026-05-08 01:04:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
27,4,6,email_sms,2026-05-08 01:06:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
28,4,7,email_sms,2026-05-08 01:01:00,confirmada,2026-05-08 01:03:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 72.46%. Precipitação acumulada 6h: 50.98 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
29,5,1,email_sms,2026-05-08 01:07:00,confirmada,2026-05-08 01:26:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
30,5,2,email_sms,2026-05-08 01:08:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
