idprevisao,idarea_risco,fonte,data_emissao,data_inicio_previsao,data_fim_previsao,horizonte_horas,precipitacao_prevista_mm,confianca
1,1,IPMA_simulado,2026-05-08 00:00:00,2026-05-08 00:00:00,2026-05-08 01:00:00,1,0,0.885
2,2,IPMA_simulado,2026-05-08 00:00:00,2026-05-08 00:00:00,2026-05-08 01:00:00,1,4.14,0.719
3,3,IPMA_simulado,2026-05-08 00:00:00,2026-05-08 00:00:00,2026-05-08 01:00:00,1,70,0.697
4,4,IPMA_simulado,2026-05-08 00:00:00,2026-05-08 00:00:00,2026-05-08 01:00:00,1,40.6,0.933
5,1,IPMA_simulado,2026-05-08 01:00:00,2026-05-08 01:00:00,2026-05-08 02:00:00,1,0,0.792
6,2,IPMA_simulado,2026-05-08 01:00:00,2026-05-08 01:00:00,2026-05-08 02:00:00,1,10.82,0.78
7,3,IPMA_simulado,2026-05-08 01:00:00,2026-05-08 01:00:00,2026-05-08 02:00:00,1,0,0.857
8,4,IPMA_simulado,2026-05-08 01:00:00,2026-05-08 01:00:00,2026-05-08 02:00:00,1,0,0.707
9,1,IPMA_simulado,2026-05-08 02:00:00,2026-05-08 02:00:00,2026-05-08 03:00:00,1,11.75,0.783
10,2,IPMA_simulado,2026-05-08 02:00:00,2026-05-08 02:00:00,2026-05-08 03:00:00,1,0,0.92
11,3,IPMA_simulado,2026-05-08 02:00:00,2026-05-08 02:00:00,2026-05-08 03:00:00,1,0,0.855
12,4,IPMA_simulado,2026-05-08 02:00:00,2026-05-08 02:00:00,2026-05-08 03:00:00,1,1.6,0.85
13,1,IPMA_simulado,2026-05-08 03:00:00,2026-05-08 03:00:00,2026-05-08 04:00:00,1,22.02,0.657
14,2,IPMA_simulado,2026-05-08 03:00:00,2026-05-08 03:00:00,2026-05-08 04:00:00,1,0,0.836
15,3,IPMA_simulado,2026-05-08 03:00:00,2026-05-08 03:00:00,2026-05-08 04:00:00,1,11.22,0.864
16,4,IPMA_simulado,2026-05-08 03:00:00,2026-05-08 03:00:00,2026-05-08 04:00:00,1,52.14,0.912
17,1,IPMA_simulado,2026-05-08 04:00:00,2026-05-08 04:00:00,2026-05-08 05:00:00,1,22.4,0.908
18,2,IPMA_simulado,2026-05-08 04:00:00,2026-05-08 04:00:00,2026-05-08 05:00:00,1,1.48,0.847
19,3,IPMA_simulado,2026-05-08 04:00:00,2026-05-08 04:00:00,2026-05-08 05:00:00,1,7.4,0.75
20,4,IPMA_simulado,2026-05-08 04:00:00,2026-05-08 04:00:00,2026-05-08 05:00:00,1,17.23,0.688
21,1,IPMA_simulado,2026-05-08 05:00:00,2026-05-08 05:00:00,2026-05-08 06:00:00,1,43.2,0.785
22,2,IPMA_simulado,2026-05-08 05:00:00,2026-05-08 05:00:00,2026-05-08 06:00:00,1,0,0.811
23,3,IPMA_simulado,2026-05-08 05:00:00,2026-05-08 05:00:00,2026-05-08 06:00:00,1,3.26,0.892
24,4,IPMA_simulado,2026-05-08 05:00:00,2026-05-08 05:00:00,2026-05-08 06:00:00,1,0,0.797
25,1,IPMA_simulado,2026-05-08 06:00:00,2026-05-08 06:00:00,2026-05-08 07:00:00,1,3.16,0.87
26,2,IPMA_simulado,2026-05-08 06:00:00,2026-05-08 06:00:00,2026-05-08 07:00:00,1,23.45,0.903
27,3,IPMA_simulado,2026-05-08 06:00:00,2026-05-08 06:00:00,2026-05-08 07:00:00,1,20.43,0.764
28,4,IPMA_simulado,2026-05-08 06:00:00,2026-05-08 06:00:00,2026-05-08 07:00:00,1,0,0.926
29,1,IPMA_simulado,2026-05-08 07:00:00,2026-05-08 07:00:00,2026-05-08 08:00:00,1,0,0.697
30,2,IPMA_simulado,2026-05-08 07:00:00,2026-05-08 07:00:00,2026-05-08 08:00:00,1,12.28,0.885
31,3,IPMA_simulado,2026-05-08 07:00:00,2026-05-08 07:00:00,2026-05-08 08:00:00,1,17.22,0.735
32,4,IPMA_simulado,2026-05-08 07:00:00,2026-05-08 07:00:00,2026-05-08 08:00:00,1,19.66,0.771
33,1,IPMA_simulado,2026-05-08 08:00:00,2026-05-08 08:00:00,2026-05-08 09:00:00,1,9.9,0.949
34,2,IPMA_simulado,2026-05-08 08:00:00,2026-05-08 08:00:00,2026-05-08 09:00:00,1,0.76,0.815
35,3,IPMA_simulado,2026-05-08 08:00:00,2026-05-08 08:00:00,2026-05-08 09:00:00,1,15.03,0.786
36,4,IPMA_simulado,2026-05-08 08:00:00,2026-05-08 08:00:00,2026-05-08 09:00:00,1,15.18,0.87
37,1,IPMA_simulado,2026-05-08 09:00:00,2026-05-08 09:00:00,2026-05-08 10:00:00,1,10.25,0.808
38,2,IPMA_simulado,2026-05-08 09:00:00,2026-05-08 09:00:00,2026-05-08 10:00:00,1,13.31,0.867
39,3,IPMA_simulado,2026-05-08 09:00:00,2026-05-08 09:00:00,2026-05-08 10:00:00,1,58.94,0.822
40,4,IPMA_simulado,2026-05-08 09:00:00,2026-05-08 09:00:00,2026-05-08 10:00:00,1,0,0.687
41,1,IPMA_simulado,2026-05-08 10:00:00,2026-05-08 10:00:00,2026-05-08 11:00:00,1,8.64,0.799
42,2,IPMA_simulado,2026-05-08 10:00:00,2026-05-08 10:00:00,2026-05-08 11:00:00,1,6.65,0.765
43,3,IPMA_simulado,2026-05-08 10:00:00,2026-05-08 10:00:00,2026-05-08 11:00:00,1,19.03,0.919
44,4,IPMA_simulado,2026-05-08 10:00:00,2026-05-08 10:00:00,2026-05-08 11:00:00,1,6.52,0.729
45,1,IPMA_simulado,2026-05-08 11:00:00,2026-05-08 11:00:00,2026-05-08 12:00:00,1,13.41,0.734
46,2,IPMA_simulado,2026-05-08 11:00:00,2026-05-08 11:00:00,2026-05-08 12:00:00,1,32.72,0.689
47,3,IPMA_simulado,2026-05-08 11:00:00,2026-05-08 11:00:00,2026-05-08 12:00:00,1,0,0.744
48,4,IPMA_simulado,2026-05-08 11:00:00,2026-05-08 11:00:00,2026-05-08 12:00:00,1,8.99,0.905
49,1,IPMA_simulado,2026-05-08 12:00:00,2026-05-08 12:00:00,2026-05-08 13:00:00,1,20.47,0.652
50,2,IPMA_simulado,2026-05-08 12:00:00,2026-05-08 12:00:00,2026-05-08 13:00:00,1,0,0.947
51,3,IPMA_simulado,2026-05-08 12:00:00,2026-05-08 12:00:00,2026-05-08 13:00:00,1,13.27,0.651
52,4,IPMA_simulado,2026-05-08 12:00:00,2026-05-08 12:00:00,2026-05-08 13:00:00,1,5.65,0.761
53,1,IPMA_simulado,2026-05-08 13:00:00,2026-05-08 13:00:00,2026-05-08 14:00:00,1,8.06,0.757
54,2,IPMA_simulado,2026-05-08 13:00:00,2026-05-08 13:00:00,2026-05-08 14:00:00,1,14.28,0.892
55,3,IPMA_simulado,2026-05-08 13:00:00,2026-05-08 13:00:00,2026-05-08 14:00:00,1,0,0.652
56,4,IPMA_simulado,2026-05-08 13:00:00,2026-05-08 13:00:00,2026-05-08 14:00:00,1,0,0.79
57,1,IPMA_simulado,2026-05-08 14:00:00,2026-05-08 14:00:00,2026-05-08 15:00:00,1,0,0.742
58,2,IPMA_simulado,2026-05-08 14:00:00,2026-05-08 14:00:00,2026-05-08 15:00:00,1,15.02,0.893
59,3,IPMA_simulado,2026-05-08 14:00:00,2026-05-08 14:00:00,2026-05-08 15:00:00,1,8.85,0.889
60,4,IPMA_simulado,2026-05-08 14:00:00,2026-05-08 14:00:00,2026-05-08 15:00:00,1,0,0.812
61,1,IPMA_simulado,2026-05-08 15:00:00,2026-05-08 15:00:00,2026-05-08 16:00:00,1,0,0.867
62,2,IPMA_simulado,2026-05-08 15:00:00,2026-05-08 15:00:00,2026-05-08 16:00:00,1,0.2,0.849
63,3,IPMA_simulado,2026-05-08 15:00:00,2026-05-08 15:00:00,2026-05-08 16:00:00,1,22.29,0.881
64,4,IPMA_simulado,2026-05-08 15:00:00,2026-05-08 15:00:00,2026-05-08 16:00:00,1,24.11,0.653
65,1,IPMA_simulado,2026-05-08 16:00:00,2026-05-08 16:00:00,2026-05-08 17:00:00,1,19.01,0.789
66,2,IPMA_simulado,2026-05-08 16:00:00,2026-05-08 16:00:00,2026-05-08 17:00:00,1,2.35,0.786
67,3,IPMA_simulado,2026-05-08 16:00:00,2026-05-08 16:00:00,2026-05-08 17:00:00,1,9.11,0.823
68,4,IPMA_simulado,2026-05-08 16:00:00,2026-05-08 16:00:00,2026-05-08 17:00:00,1,19.88,0.868
69,1,IPMA_simulado,2026-05-08 17:00:00,2026-05-08 17:00:00,2026-05-08 18:00:00,1,1.49,0.679
70,2,IPMA_simulado,2026-05-08 17:00:00,2026-05-08 17:00:00,2026-05-08 18:00:00,1,7.37,0.667
71,3,IPMA_simulado,2026-05-08 17:00:00,2026-05-08 17:00:00,2026-05-08 18:00:00,1,23.64,0.806
72,4,IPMA_simulado,2026-05-08 17:00:00,2026-05-08 17:00:00,2026-05-08 18:00:00,1,0,0.736
73,1,IPMA_simulado,2026-05-08 18:00:00,2026-05-08 18:00:00,2026-05-08 19:00:00,1,0,0.925
74,2,IPMA_simulado,2026-05-08 18:00:00,2026-05-08 18:00:00,2026-05-08 19:00:00,1,19.03,0.892
75,3,IPMA_simulado,2026-05-08 18:00:00,2026-05-08 18:00:00,2026-05-08 19:00:00,1,8.43,0.718
76,4,IPMA_simulado,2026-05-08 18:00:00,2026-05-08 18:00:00,2026-05-08 19:00:00,1,4.14,0.949
77,1,IPMA_simulado,2026-05-08 19:00:00,2026-05-08 19:00:00,2026-05-08 20:00:00,1,14.11,0.798
78,2,IPMA_simulado,2026-05-08 19:00:00,2026-05-08 19:00:00,2026-05-08 20:00:00,1,9.21,0.925
79,3,IPMA_simulado,2026-05-08 19:00:00,2026-05-08 19:00:00,2026-05-08 20:00:00,1,4.88,0.805
80,4,IPMA_simulado,2026-05-08 19:00:00,2026-05-08 19:00:00,2026-05-08 20:00:00,1,32.94,0.815
81,1,IPMA_simulado,2026-05-08 20:00:00,2026-05-08 20:00:00,2026-05-08 21:00:00,1,2.36,0.805
82,2,IPMA_simulado,2026-05-08 20:00:00,2026-05-08 20:00:00,2026-05-08 21:00:00,1,5.37,0.858
83,3,IPMA_simulado,2026-05-08 20:00:00,2026-05-08 20:00:00,2026-05-08 21:00:00,1,8.57,0.918
84,4,IPMA_simulado,2026-05-08 20:00:00,2026-05-08 20:00:00,2026-05-08 21:00:00,1,12.7,0.917
85,1,IPMA_simulado,2026-05-08 21:00:00,2026-05-08 21:00:00,2026-05-08 22:00:00,1,18.02,0.915
86,2,IPMA_simulado,2026-05-08 21:00:00,2026-05-08 21:00:00,2026-05-08 22:00:00,1,7.38,0.832
87,3,IPMA_simulado,2026-05-08 21:00:00,2026-05-08 21:00:00,2026-05-08 22:00:00,1,19.89,0.853
88,4,IPMA_simulado,2026-05-08 21:00:00,2026-05-08 21:00:00,2026-05-08 22:00:00,1,27.27,0.882
89,1,IPMA_simulado,2026-05-08 22:00:00,2026-05-08 22:00:00,2026-05-08 23:00:00,1,0,0.845
90,2,IPMA_simulado,2026-05-08 22:00:00,2026-05-08 22:00:00,2026-05-08 23:00:00,1,14.66,0.697
91,3,IPMA_simulado,2026-05-08 22:00:00,2026-05-08 22:00:00,2026-05-08 23:00:00,1,2.85,0.886
92,4,IPMA_simulado,2026-05-08 22:00:00,2026-05-08 22:00:00,2026-05-08 23:00:00,1,10.33,0.81
93,1,IPMA_simulado,2026-05-08 23:00:00,2026-05-08 23:00:00,2026-05-09 00:00:00,1,40.43,0.906
94,2,IPMA_simulado,2026-05-08 23:00:00,2026-05-08 23:00:00,2026-05-09 00:00:00,1,0,0.775
95,3,IPMA_simulado,2026-05-08 23:00:00,2026-05-08 23:00:00,2026-05-09 00:00:00,1,6.46,0.782
96,4,IPMA_simulado,2026-05-08 23:00:00,2026-05-08 23:00:00,2026-05-09 00:00:00,1,9.26,0.84
97,1,IPMA_simulado,2026-05-09 00:00:00,2026-05-09 00:00:00,2026-05-09 01:00:00,1,22.42,0.667
98,2,IPMA_simulado,2026-05-09 00:00:00,2026-05-09 00:00:00,2026-05-09 01:00:00,1,3.24,0.779
99,3,IPMA_simulado,2026-05-09 00:00:00,2026-05-09 00:00:00,2026-05-09 01:00:00,1,17.24,0.748
100,4,IPMA_simulado,2026-05-09 00:00:00,2026-05-09 00:00:00,2026-05-09 01:00:00,1,0,0.831
101,1,IPMA_simulado,2026-05-09 01:00:00,2026-05-09 01:00:00,2026-05-09 02:00:00,1,9.21,0.671
102,2,IPMA_simulado,2026-05-09 01:00:00,2026-05-09 01:00:00,2026-05-09 02:00:00,1,0,0.752
103,3,IPMA_simulado,2026-05-09 01:00:00,2026-05-09 01:00:00,2026-05-09 02:00:00,1,0,0.666
104,4,IPMA_simulado,2026-05-09 01:00:00,2026-05-09 01:00:00,2026-05-09 02:00:00,1,0,0.781
105,1,IPMA_simulado,2026-05-09 02:00:00,2026-05-09 02:00:00,2026-05-09 03:00:00,1,0,0.819
106,2,IPMA_simulado,2026-05-09 02:00:00,2026-05-09 02:00:00,2026-05-09 03:00:00,1,2.83,0.92
107,3,IPMA_simulado,2026-05-09 02:00:00,2026-05-09 02:00:00,2026-05-09 03:00:00,1,5.2,0.768
108,4,IPMA_simulado,2026-05-09 02:00:00,2026-05-09 02:00:00,2026-05-09 03:00:00,1,7.08,0.928
109,1,IPMA_simulado,2026-05-09 03:00:00,2026-05-09 03:00:00,2026-05-09 04:00:00,1,1.39,0.724
110,2,IPMA_simulado,2026-05-09 03:00:00,2026-05-09 03:00:00,2026-05-09 04:00:00,1,10.31,0.752
111,3,IPMA_simulado,2026-05-09 03:00:00,2026-05-09 03:00:00,2026-05-09 04:00:00,1,21.13,0.797
112,4,IPMA_simulado,2026-05-09 03:00:00,2026-05-09 03:00:00,2026-05-09 04:00:00,1,1.04,0.71
113,1,IPMA_simulado,2026-05-09 04:00:00,2026-05-09 04:00:00,2026-05-09 05:00:00,1,52.33,0.943
114,2,IPMA_simulado,2026-05-09 04:00:00,2026-05-09 04:00:00,2026-05-09 05:00:00,1,0,0.893
115,3,IPMA_simulado,2026-05-09 04:00:00,2026-05-09 04:00:00,2026-05-09 05:00:00,1,16.53,0.739
116,4,IPMA_simulado,2026-05-09 04:00:00,2026-05-09 04:00:00,2026-05-09 05:00:00,1,24.8,0.763
117,1,IPMA_simulado,2026-05-09 05:00:00,2026-05-09 05:00:00,2026-05-09 06:00:00,1,15.61,0.671
118,2,IPMA_simulado,2026-05-09 05:00:00,2026-05-09 05:00:00,2026-05-09 06:00:00,1,4.69,0.721
119,3,IPMA_simulado,2026-05-09 05:00:00,2026-05-09 05:00:00,2026-05-09 06:00:00,1,8.47,0.69
120,4,IPMA_simulado,2026-05-09 05:00:00,2026-05-09 05:00:00,2026-05-09 06:00:00,1,0,0.921
121,1,IPMA_simulado,2026-05-09 06:00:00,2026-05-09 06:00:00,2026-05-09 07:00:00,1,2.54,0.685
122,2,IPMA_simulado,2026-05-09 06:00:00,2026-05-09 06:00:00,2026-05-09 07:00:00,1,7.91,0.787
123,3,IPMA_simulado,2026-05-09 06:00:00,2026-05-09 06:00:00,2026-05-09 07:00:00,1,32.56,0.789
124,4,IPMA_simulado,2026-05-09 06:00:00,2026-05-09 06:00:00,2026-05-09 07:00:00,1,0.39,0.872
125,1,IPMA_simulado,2026-05-09 07:00:00,2026-05-09 07:00:00,2026-05-09 08:00:00,1,1.06,0.919
126,2,IPMA_simulado,2026-05-09 07:00:00,2026-05-09 07:00:00,2026-05-09 08:00:00,1,18.14,0.922
127,3,IPMA_simulado,2026-05-09 07:00:00,2026-05-09 07:00:00,2026-05-09 08:00:00,1,10.99,0.833
128,4,IPMA_simulado,2026-05-09 07:00:00,2026-05-09 07:00:00,2026-05-09 08:00:00,1,0,0.744
129,1,IPMA_simulado,2026-05-09 08:00:00,2026-05-09 08:00:00,2026-05-09 09:00:00,1,21.14,0.661
130,2,IPMA_simulado,2026-05-09 08:00:00,2026-05-09 08:00:00,2026-05-09 09:00:00,1,1.01,0.741
131,3,IPMA_simulado,2026-05-09 08:00:00,2026-05-09 08:00:00,2026-05-09 09:00:00,1,0,0.796
132,4,IPMA_simulado,2026-05-09 08:00:00,2026-05-09 08:00:00,2026-05-09 09:00:00,1,0,0.692
133,1,IPMA_simulado,2026-05-09 09:00:00,2026-05-09 09:00:00,2026-05-09 10:00:00,1,0,0.803
134,2,IPMA_simulado,2026-05-09 09:00:00,2026-05-09 09:00:00,2026-05-09 10:00:00,1,12.24,0.863
135,3,IPMA_simulado,2026-05-09 09:00:00,2026-05-09 09:00:00,2026-05-09 10:00:00,1,4.92,0.797
136,4,IPMA_simulado,2026-05-09 09:00:00,2026-05-09 09:00:00,2026-05-09 10:00:00,1,9.77,0.715
137,1,IPMA_simulado,2026-05-09 10:00:00,2026-05-09 10:00:00,2026-05-09 11:00:00,1,15.6,0.68
138,2,IPMA_simulado,2026-05-09 10:00:00,2026-05-09 10:00:00,2026-05-09 11:00:00,1,9.2,0.77
139,3,IPMA_simulado,2026-05-09 10:00:00,2026-05-09 10:00:00,2026-05-09 11:00:00,1,0,0.723
140,4,IPMA_simulado,2026-05-09 10:00:00,2026-05-09 10:00:00,2026-05-09 11:00:00,1,10.25,0.721
141,1,IPMA_simulado,2026-05-09 11:00:00,2026-05-09 11:00:00,2026-05-09 12:00:00,1,0.76,0.732
