idsensor,tipo,localizacao,status,idinfraestrutura_urbana,data_proxima_manutencao
1,nivel_agua,Vila do Conde - Marginal e Rio Ave,1,1,2026-06-10 00:00:00
2,precipitacao,Vila do Conde - Marginal e Rio Ave,1,1,2026-06-16 00:00:00
3,caudal,Vila do Conde - Marginal e Rio Ave,1,1,2026-08-19 00:00:00
4,nivel_agua,Vila do Conde - Marginal e Rio Ave,1,2,2026-08-29 00:00:00
5,precipitacao,Vila do Conde - Marginal e Rio Ave,1,2,2026-07-05 00:00:00
6,caudal,Vila do Conde - Marginal e Rio Ave,1,2,2026-09-05 00:00:00
7,nivel_agua,Vila do Conde - Marginal e Rio Ave,1,3,2026-05-24 00:00:00
8,precipitacao,Vila do Conde - Marginal e Rio Ave,1,3,2026-06-29 00:00:00
9,caudal,Vila do Conde - Marginal e Rio Ave,1,3,2026-07-24 00:00:00
10,nivel_agua,Vila do Conde - Acesso rodoviário inferior,1,4,2026-07-15 00:00:00
11,precipitacao,Vila do Conde - Acesso rodoviário inferior,1,4,2026-06-08 00:00:00
12,caudal,Vila do Conde - Acesso rodoviário inferior,1,4,2026-06-03 00:00:00
13,nivel_agua,Vila do Conde - Acesso rodoviário inferior,1,5,2026-08-17 00:00:00
14,precipitacao,Vila do Conde - Acesso rodoviário inferior,1,5,2026-07-22 00:00:00
15,caudal,Vila do Conde - Acesso rodoviário inferior,1,5,2026-08-06 00:00:00
16,nivel_agua,Vila do Conde - Acesso rodoviário inferior,1,6,2026-05-31 00:00:00
17,precipitacao,Vila do Conde - Acesso rodoviário inferior,1,6,2026-07-05 00:00:00
18,caudal,Vila do Conde - Acesso rodoviário inferior,1,6,2026-07-11 00:00:00
19,nivel_agua,Vila do Conde - Centro,1,7,2026-06-12 00:00:00
20,precipitacao,Vila do Conde - Centro,1,7,2026-07-24 00:00:00
21,caudal,Vila do Conde - Centro,1,7,2026-06-19 00:00:00
22,nivel_agua,Vila do Conde - Centro,1,8,2026-07-10 00:00:00
23,precipitacao,Vila do Conde - Centro,1,8,2026-08-30 00:00:00
24,caudal,Vila do Conde - Centro,1,8,2026-06-27 00:00:00
25,nivel_agua,Vila do Conde - Centro,1,9,2026-06-28 00:00:00
26,precipitacao,Vila do Conde - Centro,1,9,2026-05-25 00:00:00
27,caudal,Vila do Conde - Centro,1,9,2026-07-12 00:00:00
28,nivel_agua,Vila do Conde - Área industrial,1,10,2026-06-23 00:00:00
29,precipitacao,Vila do Conde - Área industrial,1,10,2026-06-09 00:00:00
30,caudal,Vila do Conde - Área industrial,1,10,2026-08-21 00:00:00
31,nivel_agua,Vila do Conde - Área industrial,1,11,2026-07-18 00:00:00
32,precipitacao,Vila do Conde - Área industrial,1,11,2026-06-10 00:00:00
33,caudal,Vila do Conde - Área industrial,1,11,2026-08-31 00:00:00
34,nivel_agua,Vila do Conde - Área industrial,1,12,2026-08-16 00:00:00
35,precipitacao,Vila do Conde - Área industrial,1,12,2026-06-18 00:00:00
36,caudal,Vila do Conde - Área industrial,1,12,2026-08-25 00:00:00
